,group_of_words,dates,frequencies
0,"('covid',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.5728813559322034, 0.6070730406966411, 0.6188, 0.6116, 0.6128, 0.6111510791366906, 0.6131313131313131, 0.5896, 0.6134666666666667, 0.5982666666666666, 0.6072, 0.6093706681452731, 0.5830188679245283, 0.6038666666666667, 0.6348, 0.582089552238806, 0.6016, 0.5942666666666667, 0.5873333333333334, 0.5864, 0.6289333333333333, 0.6077333333333333, 0.5741333333333334, 0.6011250540891389, 0.5965170468481726, 0.6131343283582089]"
1,"('good',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 28), datetime.date(2020, 8, 2), datetime.date(2020, 8, 7), datetime.date(2020, 8, 9), datetime.date(2020, 8, 11), datetime.date(2020, 8, 13), datetime.date(2020, 8, 18)]","[0.020338983050847456, 0.015283454771636751, 0.016, 0.0152, 0.016981132075471698, 0.015466666666666667, 0.0164, 0.016133333333333333, 0.016266666666666665]"
2,"('live',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.02711864406779661, 0.019489366743676323, 0.021066666666666668, 0.023066666666666666, 0.0216, 0.02158273381294964, 0.01717171717171717, 0.022133333333333335, 0.017333333333333333, 0.017066666666666667, 0.016133333333333333, 0.019683947879123927, 0.016666666666666666, 0.019733333333333332, 0.01533428746677571, 0.018133333333333335, 0.016933333333333335, 0.019866666666666668, 0.017333333333333333, 0.018266666666666667, 0.017333333333333333, 0.0188, 0.01938554738208568, 0.01888643610497915, 0.020776119402985075]"
3,"('coronaviru',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.0847457627118644, 0.08601386173804869, 0.1, 0.08746666666666666, 0.08453333333333334, 0.05071942446043166, 0.06313131313131314, 0.06466666666666666, 0.07013333333333334, 0.08906666666666667, 0.07866666666666666, 0.06099251455503188, 0.0660377358490566, 0.08293333333333333, 0.09053333333333333, 0.06379063586178696, 0.08533333333333333, 0.07613333333333333, 0.07333333333333333, 0.084, 0.07826666666666666, 0.09106666666666667, 0.062, 0.0826482042405885, 0.07971547706647045, 0.0915820895522388]"
4,"('pandem',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.06440677966101695, 0.0444286475919673, 0.04, 0.04426666666666667, 0.048666666666666664, 0.05143884892086331, 0.05101010101010101, 0.0512, 0.04666666666666667, 0.0468, 0.04666666666666667, 0.0533684502356529, 0.057547169811320756, 0.04533333333333334, 0.045066666666666665, 0.05765692087507667, 0.0472, 0.0456, 0.0508, 0.05346666666666667, 0.0396, 0.045733333333333334, 0.06, 0.053050627434011254, 0.04856512141280353, 0.04250746268656717]"
5,"('trump',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.030508474576271188, 0.01972631953083348, 0.019466666666666667, 0.021066666666666668, 0.023466666666666667, 0.019424460431654675, 0.04191919191919192, 0.021866666666666666, 0.0288, 0.025466666666666665, 0.027066666666666666, 0.02592181868588855, 0.016981132075471698, 0.023466666666666667, 0.0192, 0.023512574115722756, 0.015066666666666667, 0.021466666666666665, 0.047466666666666664, 0.0164, 0.023733333333333332, 0.019558632626568585, 0.03482953151827324, 0.022328358208955224]"
6,"('us',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.030508474576271188, 0.0363722528286239, 0.03693333333333333, 0.0344, 0.0388, 0.02841726618705036, 0.04292929292929293, 0.03426666666666667, 0.034666666666666665, 0.0372, 0.0372, 0.03881341835320211, 0.04245283018867924, 0.03693333333333333, 0.03266666666666666, 0.03884686158249847, 0.032933333333333335, 0.0364, 0.032, 0.04226666666666667, 0.0348, 0.037866666666666667, 0.03426666666666667, 0.038165296408481174, 0.034584253127299486, 0.034388059701492536]"
7,"('updat',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.02711864406779661, 0.027190332326283987, 0.028933333333333332, 0.030266666666666667, 0.018666666666666668, 0.02302158273381295, 0.0264, 0.021466666666666665, 0.0232, 0.022933333333333333, 0.02453562517327419, 0.016981132075471698, 0.02266666666666667, 0.0224, 0.021468002453485995, 0.017866666666666666, 0.020933333333333335, 0.021466666666666665, 0.027466666666666667, 0.0236, 0.027066666666666666, 0.028933333333333332, 0.024578104716572912, 0.02918812852587687, 0.03737313432835821]"
8,"('today',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03728813559322034, 0.0265387121616018, 0.025733333333333334, 0.0272, 0.024, 0.033093525179856115, 0.04696969696969697, 0.0388, 0.03266666666666666, 0.023466666666666667, 0.021466666666666665, 0.0383975602994178, 0.03773584905660377, 0.035333333333333335, 0.0276, 0.04089143324473523, 0.0264, 0.0352, 0.0316, 0.024266666666666666, 0.0236, 0.0272, 0.037333333333333336, 0.023279965382951105, 0.035074809909246996, 0.024955223880597014]"
9,"('test',)","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.02711864406779661, 0.052129613174574964, 0.0448, 0.047733333333333336, 0.0496, 0.06906474820143885, 0.04141414141414142, 0.0432, 0.054266666666666664, 0.061066666666666665, 0.06093333333333333, 0.05225949542556141, 0.05849056603773585, 0.053733333333333334, 0.0612, 0.04825189122878757, 0.036, 0.0396, 0.0504, 0.0432, 0.04733333333333333, 0.055466666666666664, 0.04306666666666667, 0.05106014712245781, 0.042187883247485895, 0.044417910447761194]"
