,itemsets,dates,supports,tot_dates
85,frozenset({'work'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.02711864406779661, 0.02008174871156922, 0.02, 0.024133333333333333, 0.026266666666666667, 0.02841726618705036, 0.019696969696969695, 0.0264, 0.02266666666666667, 0.0204, 0.022533333333333332, 0.03132797338508456, 0.031132075471698113, 0.024533333333333334, 0.0204, 0.02862400327131466, 0.0252, 0.027466666666666667, 0.027066666666666666, 0.0212, 0.017733333333333334, 0.026133333333333335, 0.0264, 0.02059714409346603, 0.01692420897718911, 0.018507462686567163]",26
27,frozenset({'go'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.04067796610169491, 0.02701261773591612, 0.027866666666666668, 0.02666666666666667, 0.0268, 0.020863309352517987, 0.031313131313131314, 0.02666666666666667, 0.03266666666666666, 0.0256, 0.022933333333333333, 0.030773495980038812, 0.017924528301886792, 0.026133333333333335, 0.0284, 0.02433040278061746, 0.024133333333333333, 0.0204, 0.0196, 0.0228, 0.0264, 0.0228, 0.028, 0.027347468628299437, 0.026980623007113073, 0.024238805970149255]",26
31,frozenset({'help'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.023728813559322035, 0.02932290741069842, 0.0236, 0.023866666666666668, 0.021066666666666668, 0.031654676258992806, 0.031313131313131314, 0.03813333333333333, 0.029733333333333334, 0.0232, 0.0228, 0.03479345716662046, 0.03018867924528302, 0.0348, 0.023333333333333334, 0.03475771825802494, 0.028133333333333333, 0.029733333333333334, 0.028, 0.018666666666666668, 0.0212, 0.0264, 0.03, 0.031241886629164863, 0.01913171449595291, 0.020298507462686566]",26
75,frozenset({'us'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.030508474576271188, 0.0363722528286239, 0.03693333333333333, 0.0344, 0.0388, 0.02841726618705036, 0.04292929292929293, 0.03426666666666667, 0.034666666666666665, 0.0372, 0.0372, 0.03881341835320211, 0.04245283018867924, 0.03693333333333333, 0.03266666666666666, 0.03884686158249847, 0.032933333333333335, 0.0364, 0.032, 0.04226666666666667, 0.0348, 0.037866666666666667, 0.03426666666666667, 0.038165296408481174, 0.034584253127299486, 0.034388059701492536]",26
35,frozenset({'know'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.023728813559322035, 0.016112789526686808, 0.016933333333333335, 0.016666666666666666, 0.016266666666666665, 0.02050359712230216, 0.023737373737373738, 0.019733333333333332, 0.021466666666666665, 0.021466666666666665, 0.0184, 0.019268089825339618, 0.026415094339622643, 0.017733333333333334, 0.0192, 0.02126354528726232, 0.016, 0.019333333333333334, 0.015733333333333332, 0.018266666666666667, 0.018933333333333333, 0.018266666666666667, 0.018933333333333333, 0.020250973604500216, 0.02207505518763797, 0.018865671641791044]",26
38,frozenset({'like'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.027190332326283987, 0.026133333333333335, 0.028533333333333334, 0.026933333333333333, 0.02877697841726619, 0.03434343434343434, 0.029066666666666668, 0.029466666666666665, 0.03213333333333333, 0.0256, 0.024258386470751316, 0.026415094339622643, 0.028533333333333334, 0.025466666666666665, 0.027192803107748926, 0.019733333333333332, 0.0264, 0.0212, 0.027333333333333334, 0.030266666666666667, 0.024, 0.029333333333333333, 0.027780181739506707, 0.029433406916850625, 0.025432835820895523]",26
71,frozenset({'today'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03728813559322034, 0.0265387121616018, 0.025733333333333334, 0.0272, 0.024, 0.033093525179856115, 0.04696969696969697, 0.0388, 0.03266666666666666, 0.023466666666666667, 0.021466666666666665, 0.0383975602994178, 0.03773584905660377, 0.035333333333333335, 0.0276, 0.04089143324473523, 0.0264, 0.0352, 0.0316, 0.024266666666666666, 0.0236, 0.0272, 0.037333333333333336, 0.023279965382951105, 0.035074809909246996, 0.024955223880597014]",26
41,frozenset({'make'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.01694915254237288, 0.019074699366151294, 0.019066666666666666, 0.022933333333333333, 0.020533333333333334, 0.026258992805755395, 0.022727272727272728, 0.0216, 0.021466666666666665, 0.0224, 0.0168, 0.02134738009426116, 0.02358490566037736, 0.019066666666666666, 0.017866666666666666, 0.020241259456143936, 0.018266666666666667, 0.017866666666666666, 0.020266666666666665, 0.016933333333333335, 0.015066666666666667, 0.019866666666666668, 0.0208, 0.018952834270878408, 0.01741476575913662, 0.017194029850746268]",26
42,frozenset({'mask'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.06440677966101695, 0.04401398021444227, 0.044, 0.04133333333333333, 0.031466666666666664, 0.04820143884892086, 0.05, 0.03506666666666667, 0.04133333333333333, 0.0416, 0.0312, 0.03118935403382312, 0.040566037735849055, 0.042, 0.03506666666666667, 0.03414434675935391, 0.03, 0.029066666666666668, 0.028533333333333334, 0.037733333333333334, 0.0272, 0.030933333333333334, 0.0292, 0.02959757680657724, 0.036546480255089525, 0.03319402985074627]",26
70,frozenset({'time'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03389830508474576, 0.027486523310230437, 0.025733333333333334, 0.026, 0.025066666666666668, 0.03237410071942446, 0.03383838383838384, 0.0296, 0.0304, 0.027466666666666667, 0.032933333333333335, 0.02813972830607153, 0.0330188679245283, 0.02493333333333333, 0.025466666666666665, 0.027192803107748926, 0.025066666666666668, 0.0308, 0.03266666666666666, 0.0264, 0.025066666666666668, 0.0328, 0.03253333333333333, 0.028212894850713977, 0.02918812852587687, 0.03056716417910448]",26
45,frozenset({'need'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.04406779661016949, 0.02612404478407677, 0.031466666666666664, 0.0296, 0.0328, 0.03561151079136691, 0.03080808080808081, 0.0432, 0.0288, 0.0288, 0.027733333333333332, 0.03909065705572498, 0.03679245283018868, 0.03626666666666667, 0.022133333333333335, 0.03946023308116949, 0.029066666666666668, 0.028266666666666666, 0.027866666666666668, 0.023733333333333332, 0.029466666666666665, 0.028266666666666666, 0.028533333333333334, 0.02942449156209433, 0.025754231052244298, 0.028298507462686567]",26
46,frozenset({'new'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.061016949152542375, 0.0727445056572478, 0.08426666666666667, 0.07346666666666667, 0.06373333333333334, 0.06870503597122302, 0.06666666666666667, 0.07066666666666667, 0.064, 0.06706666666666666, 0.06146666666666667, 0.0722206820072082, 0.07924528301886792, 0.0748, 0.07973333333333334, 0.07953383766101002, 0.07386666666666666, 0.0864, 0.0724, 0.07093333333333333, 0.07186666666666666, 0.08346666666666666, 0.08386666666666667, 0.0685417568152315, 0.0875643855776306, 0.08441791044776119]",26
67,frozenset({'test'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.02711864406779661, 0.052129613174574964, 0.0448, 0.047733333333333336, 0.0496, 0.06906474820143885, 0.04141414141414142, 0.0432, 0.054266666666666664, 0.061066666666666665, 0.06093333333333333, 0.05225949542556141, 0.05849056603773585, 0.053733333333333334, 0.0612, 0.04825189122878757, 0.036, 0.0396, 0.0504, 0.0432, 0.04733333333333333, 0.055466666666666664, 0.04306666666666667, 0.05106014712245781, 0.042187883247485895, 0.044417910447761194]",26
49,frozenset({'pandem'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.06440677966101695, 0.0444286475919673, 0.04, 0.04426666666666667, 0.048666666666666664, 0.05143884892086331, 0.05101010101010101, 0.0512, 0.04666666666666667, 0.0468, 0.04666666666666667, 0.0533684502356529, 0.057547169811320756, 0.04533333333333334, 0.045066666666666665, 0.05765692087507667, 0.0472, 0.0456, 0.0508, 0.05346666666666667, 0.0396, 0.045733333333333334, 0.06, 0.053050627434011254, 0.04856512141280353, 0.04250746268656717]",26
50,frozenset({'peopl'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03728813559322034, 0.05082637284521059, 0.055466666666666664, 0.051866666666666665, 0.0524, 0.048561151079136694, 0.06515151515151515, 0.04853333333333333, 0.06213333333333333, 0.056266666666666666, 0.0472, 0.04283337953978376, 0.04905660377358491, 0.05853333333333333, 0.06253333333333333, 0.04436720507053772, 0.0504, 0.053733333333333334, 0.05226666666666667, 0.046533333333333336, 0.05173333333333333, 0.04613333333333333, 0.0472, 0.05590653396797923, 0.051508462104488596, 0.055044776119402984]",26
52,frozenset({'posit'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.020338983050847456, 0.04342159824654938, 0.04066666666666666, 0.0248, 0.0356, 0.04424460431654676, 0.020202020202020204, 0.022133333333333335, 0.030533333333333332, 0.03666666666666667, 0.039733333333333336, 0.03271416689769892, 0.033962264150943396, 0.029866666666666666, 0.0312, 0.029441831936209365, 0.019066666666666666, 0.027466666666666667, 0.029066666666666668, 0.021333333333333333, 0.027066666666666666, 0.0296, 0.0236, 0.028559065339679793, 0.02256561196958548, 0.03391044776119403]",26
