,itemsets,dates,supports,tot_dates
0,frozenset({'amp'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03389830508474576, 0.06137077187370416, 0.0684, 0.07266666666666667, 0.059333333333333335, 0.06618705035971223, 0.0707070707070707, 0.0752, 0.05773333333333333, 0.062, 0.06666666666666667, 0.07845855281397283, 0.07547169811320754, 0.06706666666666666, 0.0576, 0.06951543651604988, 0.05706666666666667, 0.0668, 0.07546666666666667, 0.07866666666666666, 0.05506666666666667, 0.06146666666666667, 0.06386666666666667, 0.05867589787970576, 0.07407407407407407, 0.06507462686567164]",26
15,frozenset({'new'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.061016949152542375, 0.0727445056572478, 0.08426666666666667, 0.07346666666666667, 0.06373333333333334, 0.06870503597122302, 0.06666666666666667, 0.07066666666666667, 0.064, 0.06706666666666666, 0.06146666666666667, 0.0722206820072082, 0.07924528301886792, 0.0748, 0.07973333333333334, 0.07953383766101002, 0.07386666666666666, 0.0864, 0.0724, 0.07093333333333333, 0.07186666666666666, 0.08346666666666666, 0.08386666666666667, 0.0685417568152315, 0.0875643855776306, 0.08441791044776119]",26
29,frozenset({'us'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.030508474576271188, 0.0363722528286239, 0.03693333333333333, 0.0344, 0.0388, 0.02841726618705036, 0.04292929292929293, 0.03426666666666667, 0.034666666666666665, 0.0372, 0.0372, 0.03881341835320211, 0.04245283018867924, 0.03693333333333333, 0.03266666666666666, 0.03884686158249847, 0.032933333333333335, 0.0364, 0.032, 0.04226666666666667, 0.0348, 0.037866666666666667, 0.03426666666666667, 0.038165296408481174, 0.034584253127299486, 0.034388059701492536]",26
37,"frozenset({'pandem', 'covid'})","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03728813559322034, 0.03074462413364137, 0.0268, 0.031466666666666664, 0.03266666666666666, 0.03633093525179856, 0.03636363636363636, 0.036533333333333334, 0.031733333333333336, 0.032266666666666666, 0.0332, 0.038952037704463545, 0.04339622641509434, 0.030133333333333335, 0.03186666666666667, 0.03905131874872214, 0.03333333333333333, 0.03253333333333333, 0.037066666666666664, 0.03373333333333333, 0.026266666666666667, 0.034, 0.037333333333333336, 0.03911726525313717, 0.035074809909246996, 0.03140298507462687]",26
23,frozenset({'test'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.02711864406779661, 0.052129613174574964, 0.0448, 0.047733333333333336, 0.0496, 0.06906474820143885, 0.04141414141414142, 0.0432, 0.054266666666666664, 0.061066666666666665, 0.06093333333333333, 0.05225949542556141, 0.05849056603773585, 0.053733333333333334, 0.0612, 0.04825189122878757, 0.036, 0.0396, 0.0504, 0.0432, 0.04733333333333333, 0.055466666666666664, 0.04306666666666667, 0.05106014712245781, 0.042187883247485895, 0.044417910447761194]",26
2,frozenset({'case'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.0576271186440678, 0.10639180143356436, 0.1384, 0.1132, 0.09226666666666666, 0.06115107913669065, 0.05707070707070707, 0.06573333333333334, 0.08266666666666667, 0.08173333333333334, 0.09053333333333333, 0.07831993346271139, 0.06792452830188679, 0.09786666666666667, 0.12146666666666667, 0.08096503782457574, 0.07466666666666667, 0.09426666666666667, 0.078, 0.1012, 0.10893333333333333, 0.10573333333333333, 0.07826666666666666, 0.10739939420164431, 0.11037527593818984, 0.13826865671641791]",26
18,frozenset({'peopl'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.03728813559322034, 0.05082637284521059, 0.055466666666666664, 0.051866666666666665, 0.0524, 0.048561151079136694, 0.06515151515151515, 0.04853333333333333, 0.06213333333333333, 0.056266666666666666, 0.0472, 0.04283337953978376, 0.04905660377358491, 0.05853333333333333, 0.06253333333333333, 0.04436720507053772, 0.0504, 0.053733333333333334, 0.05226666666666667, 0.046533333333333336, 0.05173333333333333, 0.04613333333333333, 0.0472, 0.05590653396797923, 0.051508462104488596, 0.055044776119402984]",26
17,frozenset({'pandem'}),"[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.06440677966101695, 0.0444286475919673, 0.04, 0.04426666666666667, 0.048666666666666664, 0.05143884892086331, 0.05101010101010101, 0.0512, 0.04666666666666667, 0.0468, 0.04666666666666667, 0.0533684502356529, 0.057547169811320756, 0.04533333333333334, 0.045066666666666665, 0.05765692087507667, 0.0472, 0.0456, 0.0508, 0.05346666666666667, 0.0396, 0.045733333333333334, 0.06, 0.053050627434011254, 0.04856512141280353, 0.04250746268656717]",26
33,"frozenset({'case', 'covid'})","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.04067796610169491, 0.08749481665778094, 0.1168, 0.09786666666666667, 0.0772, 0.051798561151079135, 0.04595959595959596, 0.054, 0.06573333333333334, 0.06306666666666666, 0.0732, 0.068339340171888, 0.05471698113207547, 0.0852, 0.1004, 0.06706195052136578, 0.06213333333333333, 0.07826666666666666, 0.0656, 0.08426666666666667, 0.0916, 0.09013333333333333, 0.0656, 0.08766767633059282, 0.0799607554574442, 0.11008955223880597]",26
34,"frozenset({'coronaviru', 'covid'})","[datetime.date(2020, 7, 24), datetime.date(2020, 7, 25), datetime.date(2020, 7, 26), datetime.date(2020, 7, 27), datetime.date(2020, 7, 28), datetime.date(2020, 7, 29), datetime.date(2020, 7, 30), datetime.date(2020, 7, 31), datetime.date(2020, 8, 1), datetime.date(2020, 8, 2), datetime.date(2020, 8, 4), datetime.date(2020, 8, 6), datetime.date(2020, 8, 7), datetime.date(2020, 8, 8), datetime.date(2020, 8, 9), datetime.date(2020, 8, 10), datetime.date(2020, 8, 11), datetime.date(2020, 8, 12), datetime.date(2020, 8, 13), datetime.date(2020, 8, 14), datetime.date(2020, 8, 16), datetime.date(2020, 8, 17), datetime.date(2020, 8, 18), datetime.date(2020, 8, 22), datetime.date(2020, 8, 29), datetime.date(2020, 8, 30)]","[0.0576271186440678, 0.06125229548012558, 0.072, 0.066, 0.05946666666666667, 0.030575539568345324, 0.048484848484848485, 0.047733333333333336, 0.0496, 0.06186666666666667, 0.0552, 0.04505128915996673, 0.04716981132075472, 0.0592, 0.06786666666666667, 0.0445716622367614, 0.056, 0.0532, 0.05026666666666667, 0.06213333333333333, 0.06093333333333333, 0.066, 0.044, 0.060666378191259196, 0.05788570026980623, 0.06650746268656717]",26
